"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 2021  To:  Dec 31, 2022"				
Ranking by Gender & Year	First Name	Frequency	Gender	Year
78	Ali	55	Boy	2021
78	Kai 	55	Boy	2021
78	Ryan 	55	Boy	2021
81	Charles 	54	Boy	2021
81	Sawyer 	54	Boy	2021
83	Myles 	52	Boy	2021
84	Micah	51	Boy	2021
85	Greyson 	50	Boy	2021
85	Nash 	50	Boy	2021
87	Andrew 	49	Boy	2021
87	Isaiah 	49	Boy	2021
87	Mateo 	49	Boy	2021
87	Max 	49	Boy	2021
87	Omar	49	Boy	2021
92	Dominic 	48	Boy	2021
92	Eli 	48	Boy	2021
92	Zayn 	48	Boy	2021
95	Harrison 	47	Boy	2021
96	Avery 	45	Boy	2021
96	Ezekiel	45	Boy	2021
96	George 	45	Boy	2021
96	Marcus 	45	Boy	2021
96	Nicholas 	45	Boy	2021
101	Atlas 	44	Boy	2021
101	Beckett 	44	Boy	2021
101	Dawson 	44	Boy	2021
101	Finn 	44	Boy	2021
101	Individual 	44	Boy	2021
106	Cohen 	43	Boy	2021
106	Milo 	43	Boy	2021
106	Nathaniel 	43	Boy	2021
109	Brody 	42	Boy	2021
109	Evan	42	Boy	2021
109	Hayden 	42	Boy	2021
109	Jordan	42	Boy	2021
109	Landon 	42	Boy	2021
109	Silas 	42	Boy	2021
109	Zachary 	42	Boy	2021
116	Axel 	41	Boy	2021
116	Callum 	41	Boy	2021
116	Jace 	41	Boy	2021
116	Matteo 	41	Boy	2021
116	River 	41	Boy	2021
121	Ryder 	40	Boy	2021
122	Aaron 	39	Boy	2021
122	Bodhi 	39	Boy	2021
122	Ibrahim 	39	Boy	2021
122	Jaxson 	39	Boy	2021
122	Luka 	39	Boy	2021
122	Riley 	39	Boy	2021
128	Arlo 	38	Boy	2021
128	Carson 	38	Boy	2021
128	Finley 	38	Boy	2021
128	Kayden 	38	Boy	2021
132	Bowen 	37	Boy	2021
132	Gavin 	37	Boy	2021
132	Roman 	37	Boy	2021
135	Ashton 	36	Boy	2021
135	August 	36	Boy	2021
135	Cameron 	36	Boy	2021
135	Mohamed	36	Boy	2021
139	Amir 	35	Boy	2021
139	Anthony 	35	Boy	2021
139	Christian 	35	Boy	2021
139	Maxwell 	35	Boy	2021
143	Hendrix 	34	Boy	2021
143	Josiah 	34	Boy	2021
143	Kaiden 	34	Boy	2021
143	Xavier 	34	Boy	2021
147	Cole 	33	Boy	2021
148	Jameson 	32	Boy	2021
148	Jonathan 	32	Boy	2021
148	Maddox 	32	Boy	2021
148	Malcolm 	32	Boy	2021
148	Oscar 	32	Boy	2021
148	Simon 	32	Boy	2021
154	Adrian	31	Boy	2021
154	Ahmed 	31	Boy	2021
154	Colton 	31	Boy	2021
154	Easton 	31	Boy	2021
154	Hayes 	31	Boy	2021
154	Seth 	31	Boy	2021
154	Zane 	31	Boy	2021
161	Blake 	30	Boy	2021
161	Jeremiah 	30	Boy	2021
161	Tobias 	30	Boy	2021
164	Casey 	29	Boy	2021
164	Kevin 	29	Boy	2021
164	Leon 	29	Boy	2021
164	Lukas	29	Boy	2021
164	Rory 	29	Boy	2021
164	Waylon 	29	Boy	2021
170	Barrett 	28	Boy	2021
170	Emerson 	28	Boy	2021
170	Jake 	28	Boy	2021
170	Julian 	28	Boy	2021
170	Kabir 	28	Boy	2021
170	Tate 	28	Boy	2021
176	Bentley 	27	Boy	2021
176	Jason 	27	Boy	2021
176	Jonah 	27	Boy	2021
176	Kade 	27	Boy	2021
176	Tyson 	27	Boy	2021
176	Zion 	27	Boy	2021
182	Christopher 	26	Boy	2021
182	Elliott 	26	Boy	2021
182	Jesse 	26	Boy	2021
182	Kian 	26	Boy	2021
182	Nixon 	26	Boy	2021
182	Raphael 	26	Boy	2021
182	Timothy 	26	Boy	2021
182	Tucker 	26	Boy	2021
182	Xander 	26	Boy	2021
182	Yusuf	26	Boy	2021
192	Edward 	25	Boy	2021
192	Griffin 	25	Boy	2021
192	Kingston 	25	Boy	2021
195	Abel 	24	Boy	2021
195	Braxton 	24	Boy	2021
195	Daxton 	24	Boy	2021
195	Ian 	24	Boy	2021
195	Jett 	24	Boy	2021
195	Lochlan 	24	Boy	2021
195	Remy 	24	Boy	2021
195	Sullivan 	24	Boy	2021
203	Aarav 	23	Boy	2021
203	Dean 	23	Boy	2021
203	Dylan 	23	Boy	2021
203	Holden 	23	Boy	2021
203	Kyle 	23	Boy	2021
203	Lachlan 	23	Boy	2021
203	Lewis 	23	Boy	2021
203	Patrick 	23	Boy	2021
203	Paul 	23	Boy	2021
212	Beckham 	22	Boy	2021
212	Bryson 	22	Boy	2021
212	Colt 	22	Boy	2021
212	Dax 	22	Boy	2021
212	Ellis 	22	Boy	2021
212	Ivan 	22	Boy	2021
212	Jayce 	22	Boy	2021
212	Lennox 	22	Boy	2021
212	Louis 	22	Boy	2021
212	Mohammed 	22	Boy	2021
212	Peter 	22	Boy	2021
212	Robert 	22	Boy	2021
212	Tristan 	22	Boy	2021
225	Cruz 	21	Boy	2021
225	Damian 	21	Boy	2021
225	Jax 	21	Boy	2021
225	Quinn 	21	Boy	2021
225	Reid 	21	Boy	2021
225	Remington 	21	Boy	2021
225	Vincent 	21	Boy	2021
225	Zayden 	21	Boy	2021
225	Zorawar 	21	Boy	2021
234	Alex	20	Boy	2021
234	Calvin 	20	Boy	2021
234	Hamza	20	Boy	2021
234	Harvey 	20	Boy	2021
234	Joel 	20	Boy	2021
234	Malachi 	20	Boy	2021
234	Markus 	20	Boy	2021
234	Mohammad 	20	Boy	2021
234	Nico 	20	Boy	2021
234	Rayan	20	Boy	2021
234	Rhys 	20	Boy	2021
234	Rylan 	20	Boy	2021
234	Winston 	20	Boy	2021
247	Agam 	19	Boy	2021
247	Ari 	19	Boy	2021
247	Atticus 	19	Boy	2021
247	Enzo 	19	Boy	2021
247	Eric 	19	Boy	2021
247	Finnley 	19	Boy	2021
247	Judah 	19	Boy	2021
247	Kayson 	19	Boy	2021
247	Kiaan	19	Boy	2021
247	Knox 	19	Boy	2021
247	Oakley 	19	Boy	2021
247	Preston 	19	Boy	2021
247	Ronan 	19	Boy	2021
247	Ronin 	19	Boy	2021
261	Ahmad 	18	Boy	2021
261	Chase 	18	Boy	2021
261	Jeremy 	18	Boy	2021
261	Lawson 	18	Boy	2021
261	Leonardo	18	Boy	2021
261	Odin 	18	Boy	2021
261	Otto 	18	Boy	2021
261	Phoenix 	18	Boy	2021
261	Remi 	18	Boy	2021
261	Tanner 	18	Boy	2021
261	Walter 	18	Boy	2021
261	Wells 	18	Boy	2021
273	Ayaan	17	Boy	2021
273	Banks 	17	Boy	2021
273	Ben	17	Boy	2021
273	Bo 	17	Boy	2021
273	Brayden 	17	Boy	2021
273	Crew 	17	Boy	2021
273	Dallas 	17	Boy	2021
273	Hugo 	17	Boy	2021
273	Huxley 	17	Boy	2021
273	Kane 	17	Boy	2021
273	Sterling 	17	Boy	2021
284	Abraham 	16	Boy	2021
284	Ace 	16	Boy	2021
284	Arjan 	16	Boy	2021
284	Benson 	16	Boy	2021
284	Brady 	16	Boy	2021
284	Bryce 	16	Boy	2021
284	Damien	16	Boy	2021
284	Henrik 	16	Boy	2021
284	Jaden 	16	Boy	2021
284	Kaleb 	16	Boy	2021
284	Malakai 	16	Boy	2021
284	Mark 	16	Boy	2021
284	Maximus 	16	Boy	2021
284	Miller 	16	Boy	2021
284	Mustafa 	16	Boy	2021
284	Nate 	16	Boy	2021
284	Roy 	16	Boy	2021
284	Sean 	16	Boy	2021
284	Soren 	16	Boy	2021
284	Travis 	16	Boy	2021
284	Yahya 	16	Boy	2021
305	Ayden 	15	Boy	2021
305	Caden 	15	Boy	2021
305	Clark 	15	Boy	2021
305	Cody	15	Boy	2021
305	Corbin 	15	Boy	2021
305	Gage 	15	Boy	2021
305	Hassan	15	Boy	2021
305	Jensen 	15	Boy	2021
305	Kyler 	15	Boy	2021
305	Louie	15	Boy	2021
305	Malik 	15	Boy	2021
305	Musa	15	Boy	2021
305	Philip	15	Boy	2021
305	Sam	15	Boy	2021
320	Adriel 	14	Boy	2021
320	Aidan 	14	Boy	2021
320	Anders 	14	Boy	2021
320	Antonio	14	Boy	2021
320	Brixton 	14	Boy	2021
320	Cash 	14	Boy	2021
320	Cayden 	14	Boy	2021
320	Colson 	14	Boy	2021
320	Dante	14	Boy	2021
320	Gideon 	14	Boy	2021
320	Jad	14	Boy	2021
320	Justin 	14	Boy	2021
320	Kaden 	14	Boy	2021
320	Kareem	14	Boy	2021
320	Lane 	14	Boy	2021
320	Martin 	14	Boy	2021
320	Porter 	14	Boy	2021
320	Russell 	14	Boy	2021
320	Spencer 	14	Boy	2021
320	Watson 	14	Boy	2021
320	Zayne 	14	Boy	2021
341	Aryan 	13	Boy	2021
341	Bradley 	13	Boy	2021
341	Callen 	13	Boy	2021
341	Colby 	13	Boy	2021
341	Frederick 	13	Boy	2021
341	Grady 	13	Boy	2021
341	Imran 	13	Boy	2021
341	Kaysen 	13	Boy	2021
341	Magnus 	13	Boy	2021
341	Marco 	13	Boy	2021
341	Milan	13	Boy	2021
341	Paxton 	13	Boy	2021
341	Steven	13	Boy	2021
341	Tyler 	13	Boy	2021
341	Zander 	13	Boy	2021
356	Augustus 	12	Boy	2021
356	Axton 	12	Boy	2021
356	Bruce	12	Boy	2021
356	Cyrus 	12	Boy	2021
356	Deacon 	12	Boy	2021
356	Giovanni 	12	Boy	2021
356	Jakob 	12	Boy	2021
356	Jared 	12	Boy	2021
356	Kobe	12	Boy	2021
356	Kohen 	12	Boy	2021
356	Krishiv 	12	Boy	2021
356	Niko 	12	Boy	2021
356	Rafael 	12	Boy	2021
356	Santiago 	12	Boy	2021
356	Syed 	12	Boy	2021
356	Tripp 	12	Boy	2021
356	Wade 	12	Boy	2021
356	Wilder 	12	Boy	2021
356	Yaseen 	12	Boy	2021
375	Angad 	11	Boy	2021
375	Armaan	11	Boy	2021
375	Aveer 	11	Boy	2021
375	Aziel 	11	Boy	2021
375	Callan 	11	Boy	2021
375	Camden 	11	Boy	2021
375	Edison 	11	Boy	2021
375	Ekam 	11	Boy	2021
375	Emmanuel 	11	Boy	2021
375	Fletcher 	11	Boy	2021
375	Jaxton 	11	Boy	2021
375	Jaxx 	11	Boy	2021
375	Kash 	11	Boy	2021
375	Kashton 	11	Boy	2021
375	Kingsley 	11	Boy	2021
375	Kyrie 	11	Boy	2021
375	Lennon 	11	Boy	2021
375	Lorenzo 	11	Boy	2021
375	Mehtab 	11	Boy	2021
375	Miguel 	11	Boy	2021
375	Oakland 	11	Boy	2021
375	Raiden	11	Boy	2021
375	Sahib	11	Boy	2021
375	Scott	11	Boy	2021
375	Troy 	11	Boy	2021
401	Amen 	10	Boy	2021
401	Anderson 	10	Boy	2021
401	Anhad	10	Boy	2021
401	Archie 	10	Boy	2021
401	Arjun 	10	Boy	2021
401	Bilal 	10	Boy	2021
401	Boden 	10	Boy	2021
401	Boston 	10	Boy	2021
401	Cassius 	10	Boy	2021
401	Cedric 	10	Boy	2021
401	Duke 	10	Boy	2021
401	Fateh 	10	Boy	2021
401	Francis 	10	Boy	2021
401	Gurbaaz	10	Boy	2021
401	Hank 	10	Boy	2021
401	Harlan 	10	Boy	2021
401	Harry 	10	Boy	2021
401	Hugh 	10	Boy	2021
401	Isa	10	Boy	2021
401	Ivaan	10	Boy	2021
401	Jamie	10	Boy	2021
401	Jonas 	10	Boy	2021
401	Kenneth 	10	Boy	2021
401	Kieran 	10	Boy	2021
401	Kylan 	10	Boy	2021
401	Linden 	10	Boy	2021
401	Malek 	10	Boy	2021
401	Prince 	10	Boy	2021
401	Reuben 	10	Boy	2021
401	Richard 	10	Boy	2021
401	Sage 	10	Boy	2021
401	Samrath 	10	Boy	2021
401	Solomon 	10	Boy	2021
401	Stanley 	10	Boy	2021
401	Stetson 	10	Boy	2021
401	Titus 	10	Boy	2021
401	Ty 	10	Boy	2021
401	Van 	10	Boy	2021
401	Waris 	10	Boy	2021
401	Zayd 	10	Boy	2021
441	Abdul 	9	Boy	2021
441	Alec 	9	Boy	2021
441	Ammar	9	Boy	2021
441	Aviraj 	9	Boy	2021
441	Ayman 	9	Boy	2021
441	Baker 	9	Boy	2021
441	Briggs 	9	Boy	2021
441	Brodie 	9	Boy	2021
441	Bronson 	9	Boy	2021
441	Cade 	9	Boy	2021
441	Clayton 	9	Boy	2021
441	Damon 	9	Boy	2021
441	Danny 	9	Boy	2021
441	Desmond 	9	Boy	2021
441	Emmitt 	9	Boy	2021
441	Erik 	9	Boy	2021
441	Forrest 	9	Boy	2021
441	Ivar 	9	Boy	2021
441	Jay 	9	Boy	2021
441	Kailer 	9	Boy	2021
441	Kasen 	9	Boy	2021
441	Keanu	9	Boy	2021
441	Keaton 	9	Boy	2021
441	Kylo 	9	Boy	2021
441	Lucca 	9	Boy	2021
441	Mathias 	9	Boy	2021
441	Maximilian	9	Boy	2021
441	Neil 	9	Boy	2021
441	Nikolai 	9	Boy	2021
441	Nirvaan 	9	Boy	2021
441	Oaklen 	9	Boy	2021
441	Osman	9	Boy	2021
441	Otis 	9	Boy	2021
441	Quinton 	9	Boy	2021
441	Raymond 	9	Boy	2021
441	Reed 	9	Boy	2021
441	Reign	9	Boy	2021
441	Reyansh	9	Boy	2021
441	Robin	9	Boy	2021
441	Skyler 	9	Boy	2021
441	Sylas 	9	Boy	2021
441	Yuvraj 	9	Boy	2021
441	Zaid 	9	Boy	2021
484	Aaryan 	8	Boy	2021
484	Aden 	8	Boy	2021
484	Adonis	8	Boy	2021
484	Alistair 	8	Boy	2021
484	Ambrose 	8	Boy	2021
484	Andre 	8	Boy	2021
484	Ash 	8	Boy	2021
484	Benedict	8	Boy	2021
484	Brian	8	Boy	2021
484	Bryan 	8	Boy	2021
484	Carlos 	8	Boy	2021
484	Chance 	8	Boy	2021
484	Clay 	8	Boy	2021
484	Clyde 	8	Boy	2021
484	Colter 	8	Boy	2021
484	Conrad 	8	Boy	2021
484	Dominik 	8	Boy	2021
484	Dorian 	8	Boy	2021
484	Duncan 	8	Boy	2021
484	Flynn 	8	Boy	2021
484	Gordon 	8	Boy	2021
484	Grant 	8	Boy	2021
484	Gunnar 	8	Boy	2021
484	Gunner 	8	Boy	2021
484	Harris 	8	Boy	2021
484	Heath 	8	Boy	2021
484	Himmat 	8	Boy	2021
484	Ilyas 	8	Boy	2021
484	Jorawar 	8	Boy	2021
484	Karter 	8	Boy	2021
484	Kayce 	8	Boy	2021
484	Koa 	8	Boy	2021
484	Leif 	8	Boy	2021
484	Madden 	8	Boy	2021
484	Maksim 	8	Boy	2021
484	Matthias 	8	Boy	2021
484	Maxim	8	Boy	2021
484	Mitchell 	8	Boy	2021
484	Pierce 	8	Boy	2021
484	Ranveer 	8	Boy	2021
484	Reese 	8	Boy	2021
484	Rogan 	8	Boy	2021
484	Rowen 	8	Boy	2021
484	Salem 	8	Boy	2021
484	Samar 	8	Boy	2021
484	Shawn 	8	Boy	2021
484	Sonny 	8	Boy	2021
484	Taha 	8	Boy	2021
484	Taylor 	8	Boy	2021
484	Thiago 	8	Boy	2021
484	Victor 	8	Boy	2021
484	Warren 	8	Boy	2021
484	Wylder 	8	Boy	2021
484	Zain	8	Boy	2021
484	Zakaria	8	Boy	2021
484	Zakariya	8	Boy	2021
484	Zohan	8	Boy	2021
541	Aarush	7	Boy	2021
541	Adrien 	7	Boy	2021
541	Albert	7	Boy	2021
541	Anas	7	Boy	2021
541	Andy 	7	Boy	2021
541	Apollo 	7	Boy	2021
541	Arman	7	Boy	2021
541	Asad	7	Boy	2021
541	Avi 	7	Boy	2021
541	Axl 	7	Boy	2021
541	Ayan 	7	Boy	2021
541	Azariah 	7	Boy	2021
541	Bauer 	7	Boy	2021
541	Beck 	7	Boy	2021
541	Bellamy 	7	Boy	2021
541	Calum 	7	Boy	2021
541	Casper	7	Boy	2021
541	Chester 	7	Boy	2021
541	Colin 	7	Boy	2021
541	Dane 	7	Boy	2021
541	Darius 	7	Boy	2021
541	Daxon 	7	Boy	2021
541	Denver 	7	Boy	2021
541	Dexter 	7	Boy	2021
541	Drew 	7	Boy	2021
541	Elio 	7	Boy	2021
541	Emilio 	7	Boy	2021
541	Ewan 	7	Boy	2021
541	Frank 	7	Boy	2021
541	Fynn 	7	Boy	2021
541	Graham 	7	Boy	2021
541	Grey 	7	Boy	2021
541	Idris	7	Boy	2021
541	Ishan	7	Boy	2021
541	Ismail	7	Boy	2021
541	Josh 	7	Boy	2021
541	Jujhar 	7	Boy	2021
541	Karim	7	Boy	2021
541	Kendrick 	7	Boy	2021
541	Kenzo 	7	Boy	2021
541	Khaled	7	Boy	2021
541	Khalid 	7	Boy	2021
541	Killian 	7	Boy	2021
541	Koen 	7	Boy	2021
541	Krew 	7	Boy	2021
541	Landen 	7	Boy	2021
541	Link 	7	Boy	2021
541	Mackenzie 	7	Boy	2021
541	Matias	7	Boy	2021
541	Mylo	7	Boy	2021
541	Nael 	7	Boy	2021
541	Nicolas 	7	Boy	2021
541	Quentin 	7	Boy	2021
541	Rhodes 	7	Boy	2021
541	Ruben 	7	Boy	2021
541	Sami 	7	Boy	2021
541	Samson 	7	Boy	2021
541	Shane 	7	Boy	2021
541	Shaun 	7	Boy	2021
541	Sulaiman 	7	Boy	2021
541	Sutter 	7	Boy	2021
541	Sutton 	7	Boy	2021
541	Thaddeus 	7	Boy	2021
541	Tommy 	7	Boy	2021
541	Vivaan	7	Boy	2021
541	Yasir	7	Boy	2021
541	Yousef	7	Boy	2021
541	Zaviyar 	7	Boy	2021
609	Abdirahman	6	Boy	2021
609	Abdulrahman	6	Boy	2021
609	Agastya 	6	Boy	2021
609	Alden 	6	Boy	2021
609	Alder 	6	Boy	2021
609	Amanuel 	6	Boy	2021
609	Andrei 	6	Boy	2021
609	Angel 	6	Boy	2021
609	Angus 	6	Boy	2021
609	Arnold	6	Boy	2021
609	Arvin 	6	Boy	2021
609	Atreus 	6	Boy	2021
609	Avyaan 	6	Boy	2021
609	Avyan 	6	Boy	2021
609	Beauden 	6	Boy	2021
609	Bohdan 	6	Boy	2021
609	Bowie 	6	Boy	2021
609	Brandon 	6	Boy	2021
609	Carmelo 	6	Boy	2021
609	Cassian 	6	Boy	2021
609	Chris 	6	Boy	2021
609	Cillian 	6	Boy	2021
609	Coen 	6	Boy	2021
609	Conner 	6	Boy	2021
609	Curtis	6	Boy	2021
609	Dalton 	6	Boy	2021
609	Douglas 	6	Boy	2021
609	Eesa	6	Boy	2021
609	Elon 	6	Boy	2021
609	Emery 	6	Boy	2021
609	Evander 	6	Boy	2021
609	Finnegan 	6	Boy	2021
609	Finnigan 	6	Boy	2021
609	Ford 	6	Boy	2021
609	Forest 	6	Boy	2021
609	Garrett 	6	Boy	2021
609	Gurshabad 	6	Boy	2021
609	Harun	6	Boy	2021
609	Hendrik 	6	Boy	2021
609	Israel 	6	Boy	2021
609	Issac 	6	Boy	2021
609	Jamieson 	6	Boy	2021
609	Jaylen 	6	Boy	2021
609	Jedidiah 	6	Boy	2021
609	Joaquin 	6	Boy	2021
609	Joey 	6	Boy	2021
609	Johan 	6	Boy	2021
609	Jones 	6	Boy	2021
609	Julius 	6	Boy	2021
609	Kaiser 	6	Boy	2021
609	Kaison 	6	Boy	2021
609	Kaius 	6	Boy	2021
609	Keegan 	6	Boy	2021
609	Keenan 	6	Boy	2021
609	Krishna 	6	Boy	2021
609	Kyden	6	Boy	2021
609	Kyzer 	6	Boy	2021
609	Layne 	6	Boy	2021
609	Leonidas	6	Boy	2021
609	Leroy 	6	Boy	2021
609	Luciano	6	Boy	2021
609	Luis	6	Boy	2021
609	Mahir	6	Boy	2021
609	Mahmoud 	6	Boy	2021
609	Manuel	6	Boy	2021
609	Marshall 	6	Boy	2021
609	Marwan	6	Boy	2021
609	Memphis 	6	Boy	2021
609	Merrick 	6	Boy	2021
609	Mohamad 	6	Boy	2021
609	Musab 	6	Boy	2021
609	Natan 	6	Boy	2021
609	Neo 	6	Boy	2021
609	Niall 	6	Boy	2021
609	Nihal 	6	Boy	2021
609	Nikola	6	Boy	2021
609	Nirvair	6	Boy	2021
609	Ocean 	6	Boy	2021
609	Ollie 	6	Boy	2021
609	Om 	6	Boy	2021
609	Orson 	6	Boy	2021
609	Oskar 	6	Boy	2021
609	Reece 	6	Boy	2021
609	Rian	6	Boy	2021
609	Rio 	6	Boy	2021
609	Rocco 	6	Boy	2021
609	Royce 	6	Boy	2021
609	Salman	6	Boy	2021
609	Sartaj	6	Boy	2021
609	Shea 	6	Boy	2021
609	Stephen 	6	Boy	2021
609	Tatum 	6	Boy	2021
609	Tegh 	6	Boy	2021
609	Torin 	6	Boy	2021
609	Turner 	6	Boy	2021
609	Veer 	6	Boy	2021
609	Viraj 	6	Boy	2021
609	Westyn 	6	Boy	2021
609	Youssef	6	Boy	2021
609	Zachariah 	6	Boy	2021
609	Zeke 	6	Boy	2021
710	Abdullah	5	Boy	2021
710	Abdullahi 	5	Boy	2021
710	Abeer	5	Boy	2021
710	Agamjot 	5	Boy	2021
710	Ajit 	5	Boy	2021
710	Aleksander 	5	Boy	2021
710	Alexandre 	5	Boy	2021
710	Alfred 	5	Boy	2021
710	Amari 	5	Boy	2021
710	Ameer	5	Boy	2021
710	Andres 	5	Boy	2021
710	Angelo 	5	Boy	2021
710	Ares	5	Boy	2021
710	Arhaan	5	Boy	2021
710	Atharv	5	Boy	2021
710	Aydin	5	Boy	2021
710	Azaan	5	Boy	2021
710	Benny	5	Boy	2021
710	Billy 	5	Boy	2021
710	Blaze 	5	Boy	2021
710	Boaz 	5	Boy	2021
710	Bodie 	5	Boy	2021
710	Brantley 	5	Boy	2021
710	Brock 	5	Boy	2021
710	Brycen 	5	Boy	2021
710	Caelan 	5	Boy	2021
710	Caiden 	5	Boy	2021
710	Cedar 	5	Boy	2021
710	Cian 	5	Boy	2021
710	Cormac 	5	Boy	2021
710	Creed 	5	Boy	2021
710	Dan 	5	Boy	2021
710	Davis 	5	Boy	2021
710	Deklan 	5	Boy	2021
710	Derek 	5	Boy	2021
710	Diego 	5	Boy	2021
710	Dion 	5	Boy	2021
710	Donovan 	5	Boy	2021
710	Eden 	5	Boy	2021
710	Ernie	5	Boy	2021
710	Félix	5	Boy	2021
710	Fionn 	5	Boy	2021
710	Frankie 	5	Boy	2021
710	Fraser 	5	Boy	2021
710	Gael	5	Boy	2021
710	Gray 	5	Boy	2021
710	Gregory 	5	Boy	2021
710	Gurfateh 	5	Boy	2021
710	Gurtaj 	5	Boy	2021
710	Hadi 	5	Boy	2021
710	Haroon	5	Boy	2021
710	Hasan 	5	Boy	2021
710	Hayze 	5	Boy	2021
710	Henri 	5	Boy	2021
710	Hezekiah 	5	Boy	2021
710	Isaak 	5	Boy	2021
710	Iver 	5	Boy	2021
710	Jaiden 	5	Boy	2021
710	Jaxtyn 	5	Boy	2021
710	Jaxxon 	5	Boy	2021
710	Jeffrey 	5	Boy	2021
710	Jigar	5	Boy	2021
710	Joziah 	5	Boy	2021
710	Junior 	5	Boy	2021
710	Kacey 	5	Boy	2021
710	Kairo 	5	Boy	2021
710	Karam	5	Boy	2021
710	Keith 	5	Boy	2021
710	Kellan 	5	Boy	2021
710	King 	5	Boy	2021
710	Korbin 	5	Boy	2021
710	Kyan 	5	Boy	2021
710	Kylian 	5	Boy	2021
710	Lars 	5	Boy	2021
710	Ledger 	5	Boy	2021
710	Leonard 	5	Boy	2021
710	Llewyn 	5	Boy	2021
710	Lucian 	5	Boy	2021
710	Mac 	5	Boy	2021
710	Makai 	5	Boy	2021
710	Marcel 	5	Boy	2021
710	Marko 	5	Boy	2021
710	Matheo 	5	Boy	2021
710	Mattias 	5	Boy	2021
710	Meron 	5	Boy	2021
710	Mikael 	5	Boy	2021
710	Miran	5	Boy	2021
710	Monty 	5	Boy	2021
710	Moses 	5	Boy	2021
710	Mubarak 	5	Boy	2021
710	Muhammed 	5	Boy	2021
710	Nayel	5	Boy	2021
710	Niam	5	Boy	2021
710	Noel 	5	Boy	2021
710	Olivier 	5	Boy	2021
710	Olsen 	5	Boy	2021
710	Onyx 	5	Boy	2021
710	Orhan	5	Boy	2021
710	Phillip 	5	Boy	2021
710	Rayden 	5	Boy	2021
710	Ren 	5	Boy	2021
710	Revan 	5	Boy	2021
710	Rex 	5	Boy	2021
710	Riaan	5	Boy	2021
710	Riggs 	5	Boy	2021
710	Rihaan	5	Boy	2021
710	Rohan 	5	Boy	2021
710	Roland 	5	Boy	2021
710	Rupert 	5	Boy	2021
710	Ryatt 	5	Boy	2021
710	Ryle 	5	Boy	2021
710	Rylee 	5	Boy	2021
710	Saif 	5	Boy	2021
710	Samir	5	Boy	2021
710	Shivansh	5	Boy	2021
710	Steele 	5	Boy	2021
710	Stefan	5	Boy	2021
710	Taim 	5	Boy	2021
710	Teddy 	5	Boy	2021
710	Tenzin 	5	Boy	2021
710	Titan 	5	Boy	2021
710	Toby 	5	Boy	2021
710	Tom 	5	Boy	2021
710	Tony	5	Boy	2021
710	Uriah 	5	Boy	2021
710	Usman 	5	Boy	2021
